ref,address,eircode,electoral_area,valuation,ds_x,ds_y
"DS-010-21","3 High Street, Croom, Co. Limerick","V35 R250","Adare/Rathkeale","50000","551390","641142"
"DS-014-21","Bridge Street, Croom, Co. Limerick","V35 V406","Adare/Rathkeale","60000","551252","641096"
"DS-028-12","Killonan, Castletroy, Limerick","V94 16K3","Limerick City East","100000","563988","655884"
"DS-113-21","Castle Street, Castleconnell, Co. Limerick","V94 FHW7","Limerick City East","100000","566125","662538"
"DS-033-19","Ballinacurra Road, Limerick","","Limerick City West","30000","556839","655452"
"DS-073-22","Convent Street, Abbeyfeale, Co. Limerick","V94E167","Newcastle West","100000","511658","626830"
"DS-111-21","Gortakilleen, Oolahills West, Oola, Co. Limerick","","Cappamore/Kilmallock","45000","582534","641733"
"DS-145-21","Knockainey West, Knockainey, Co. Limerick","V35 F542","Cappamore/Kilmallock","30000","567973","635916"
"DS-003-22","Main Street, Croom, Co. Limerick","V35 H563","Adare/Rathkeale","50000","551275","641187"
"DS-057-22","Main Street, Cappamore, Co. Limerick","V94 E42V","Cappamore/Kilmallock","60000","577052","651536"
"DS-064-22","Saint Anthony's Lacka, Castleconnell, Co. Limerick","V94 N1NF","Limerick City East","100000","566682","663614"
"DS-080-22","North Road, Dromcollogher, Co. Limerick","","Newcastle West","65000","537981","621379"
"DS-082-22","No. 11 Cois na Feile, Abbeyfeale, Co. Limerick","","Newcastle West","20000","512658","626509"
"DS-083-22","No. 12 Cois na Feile, Abbeyfeale, Co. Limerick","","Newcastle West","20000","512666","626509"
"DS-040-11","Gortroe, Colmanswell, Co. Limerick","","Cappamore/Kilmallock","60000","550793","625201"
"DS-024-16","Mongfune, Murroe, Co. Limerick","","Cappamore/Kilmallock","90000","575499","655303"
"DS-044-17","Mongfune, Murroe, Co. Limerick","","Cappamore/Kilmallock","30000","575329","655127"
"DS-120-21","7 O'Callaghan Avenue, Kileely, Limerick V94 PFX4","V94 PFX4","Limerick City North","80000","556944","658356"
"DS-085-22","34 Smith O'Brien Avenue, Kileely, Limerick","V94 Y8VC","Limerick City North","80000","556886","658509"
"DS-056-22","Castle Mungret, Mungret, Limerick","","Limerick City West","80000","553315","654231"
"DS-101-22","41 Mayorstone Avenue, Mayorstone, Limerick","V94 YD2X","Limerick City North","220000","556534","658180"
"DS-023-17","Bunkey, Lisnagry, Co. Limerick","","Limerick City East","70000","568091","660315"
"DS-091-22","Rathurd, Drombanny, Co. Limerick","","Limerick City East","90000","559954","653130"
"DS-030-20","Marian Drive, Roxboro Road, Limerick","","Limerick City East","120000","558065","656032"
"DS-008-20","Glenlevan, Ennis Road, Limerick","V94 D6DK","Limerick City North","500000","556881","657557"
"DS-012-17","Grange, Knocklong, Co. Limerick","V35 Y398","Cappamore/Kilmallock","40000","573122","630973"
"DS-092-18","Caherconey, Herbertstown, Co. Limerick","V35 W525","Cappamore/Kilmallock","60000","568067","640770"
"DS-011-20","1 Treada na Rí, Kilfinane, Co. Limerick","V35 ED37","Cappamore/Kilmallock","100000","568354","623166"
"DS-006-19","Claughan Court, Garryowen, Limerick","","Limerick City East","90000","558784","656758"
"DS-048-22","Carrigparson, Ballysimon, Co. Limerick","V94 44N6","Limerick City East","60000","563809","651993"
"DS-135-22","29 Upper William Street, Limerick","V94 K6HF","Limerick City East","75000","557979","656777"
"DS-024-21","CIE Social Club, Careys Road, Limerick","","Limerick City East","220000","557970","656224"
"DS-145-22","Cowpark, Kilcornan, Co. Limerick","","Adare/Rathkeale","40000","539802","651664"
"DS-040-19","Whitehall, N24 Tipperary Road, Limerick","","Limerick City East","80000","564148","654056"
"DS-021-21","Banogue Cross, Banogue, Croom, Co. Limerick","V35 XP49","Adare/Rathkeale","60000","552412","636452"
"DS-149-22","Bramble Cottage, Water Street, Bruree, Co. Limerick","","Cappamore/Kilmallock","40000","554964","630521"
"DS-068-22","Cullinagh, Newcastle West, Co. Limerick","V42H594","Newcastle West","180000","527359","633301"
"DS-057-21","7 Oakland Drive, Greystones, Limerick","V94 5D81","Limerick City North","200000","556111","657782"
"DS-139-22","South Mall, Glin, Co. Limerick","","Newcastle West","25000","513106","647072"
"DS-146-22","The Glebe, Monagea, Co. Limerick","","Newcastle West","375000","526291","630092"
"DS-153-22","Herbertstown, Co. Limerick","","Cappamore/Kilmallock","60000","568158","641171"
"DS-152-22","Daly's Cross, Collreiry, Castleconnell, Co. Limerick","","Limerick City East","100000","566798","662156"
"DS-165-22","Fairview Avenue, Blackboy Road, Limerick","V94 P5X9","Limerick City East","80000","558661","656488"
"DS-015-17","Lissard, Galbally, Co. Limerick","","Cappamore/Kilmallock","50000","578754","630634"
"DS-020-17","Coolavehy, Ballyorgan, Kilmallock, Co. Limerick","","Cappamore/Kilmallock","25000","569064","615381"
"DS-142-22","Gortboy Service Station, Gortboy, Kilmallock, Co. Limerick","V35 N273","Cappamore/Kilmallock","100000","560830","627499"
"DS-027-17","Ballyvogue, Askeaton, Co. Limerick","","Adare/Rathkeale","55000","538574","651296"
"DS-157-22","Feoghanagh, Co. Limerick","V42EA44","Newcastle West","50000","533859","626280"
"DS-127-21","The Stables, O'Connell Avenue, Limerick V94 F9NK","V94 F9NK","Limerick City West","150000","557060","655796"
"DS-092-22","1 Elm Park, Tooreen, Croom, Co. Limerick V35 FP77","V35 FP77","Adare/Rathkeale","110000","551496","641191"
"DS-156-22","Orr Street Close, Kilmallock, Co. Limerick","V35 H728","Cappamore/Kilmallock","90000","560853","627807"
"DS-045-22","South Quay, Newcastle West, Co. Limerick","V42PX29","Newcastle West","90000","527860","633622"
"DS-008-23","Convent Street, Abbeyfeale, Co. Limerick V94 EV78","V94 EV78","Newcastle West","50000","511723","626856"
"DS-010-23","Corbally Road, Limerick","","Limerick City North","55000","558343","658300"
"DS-110-21","Shrahane, Highpark, Ballysimon, Co. Limerick","V94 EK7V","Cappamore/Kilmallock","45000","565727","651600"
"DS-022-23","Bothar Bui, Newcastle West, Co. Limerick V42 WF64","V42 WF64","Newcastle West","50000","528079","633493"
"DS-126-22","Feenagh, Kilmallock, Co. Limerick V35 DP65","V35 DP65","Newcastle West","75000","540287","626773"
"DS-012-23","Former Tractor Spares Building, Lelia Street, Limerick","","Limerick City East","150000","558299","657329"
"DS-168-22","3 The Cottages, Adare, Co. Limerick","V94 H2FA","Adare/Rathkeale","140000","546161","645895"
"DS-021-17","Coolavehy, Ballyorgan, Co. Limerick","","Cappamore/Kilmallock","25000","569054","615300"
"DS-038-23","116 Hyde Road, Prospect, Limerick V94 KP8K","V94 KP8K","Limerick City West","22000","557683","656100"
"DS-039-23","114 Hyde Road, Prospect, Limerick","V94 38C7","Limerick City West","25000","557680","656096"
"DS-040-23","88 Hyde Road, Prospect, Limerick V94 HX2F","V94 HX2F","Limerick City West","25000","557664","656015"
"DS-041-23","O'Curry Street, Limerick","","Limerick City West","80000","557048","656518"
"DS-043-23","12 Lenihan Avenue, Prospect, Limerick","V94 447V","Limerick City West","20000","557486","655711"
"DS-064-23","Cottage on the N69, Castlemungret, Mungret, Co. Limerick","","Limerick City West","70000","553217","654215"
"DS-065-23","Warehouse, Dock Road, Limerick V94 D407","V94 D407","Limerick City West","75000","555698","655984"
"DS-116-22","The Shannon House, Main Street, Foynes, Co. Limerick V94 N5PF","V94 N5PF","Adare/Rathkeale","350000","524989","651718"
"DS-028-23","Barna Village, Bohernagraga, Co. Limerick","","Cappamore/Kilmallock","35000","577644","642858"
"DS-030-23","Main Street, Askeaton, Co. Limerick V94 FFD9","V94 FFD9","Adare/Rathkeale","55000","533891","650352"
"DS-008-18","Toll House, Corbally Road, Limerick V94 W8HK","V94 W8HK","Limerick City East","110000","558659","659025"
"DS-068-21","3 Roches Row, Roches Street, Limerick V94 PF8V","V94 PF8V","Limerick City West","65000","557720","656897"
"DS-054-22","1 Roches Row, Roches Street, Limerick V94 RXW2","V94 RXW2","Limerick City West","65000","557713","656886"
"DS-013-23","Milk Market/Molyneaux Bar, 68 Mungret Street, Limerick","V94 R6N3","Limerick City North","40000","558012","657210"
"DS-033-23","10 Sarsfield Street, Limerick V94 A243","V94 A243","Limerick City West","200000","557478","657207"
