ref,address,eircode,date_entered,valuation
"DS2025/37","Carrowneden (House 2), Killasser, Swinford, Co Mayo","","2025-12-08",""
"DS30/01(a)","Kilmaine Road, The Neale, Ballinrobe, Co Mayo","","2022-11-22","40000"
"DS09/53","Pollagh, Keel, Achill, Co Mayo","","2021-04-15","40000"
"DS09/54","Pollagh, Keel, Achill, Co Mayo F28 NX43","F28 NX43","2020-08-28","40000"
"DS09/59","Keel West, Dooagh, Achill, Co Mayo","","2020-08-28","40000"
"DS09/61","Keel West, Dooagh, Achill, Co Mayo F28 TW10","F28 TW10","2020-08-28","30000"
"DS09/63","Achill Sound, Co Mayo F28 N922","F28 N922","2020-09-03","40000"
"DS09/64","Achill Sound, Co Mayo F28 E8C2","F28 E8C2","2020-09-03","70000"
"DS09/66","Polranny, Achill Sound, Co Mayo","","2020-10-08","160000"
"DS09/67","""The Railway Hostel"", Polranny, Achill Sound, Westport, Co Mayo F28 W6DO","F28 W6DO","2020-10-08","200000"
"DS09/68","Polranny, Achill Sound, Co Mayo F28 F102","F28 F102","2022-01-20","100000"
"DS09/72","Polranny, Achill Sound, Co Mayo","","2020-10-08","140000"
"DS09/82","Slievemore, Dooagh, Achill, Co Mayo F28 VW13","F28 VW13","2021-01-21","50000"
"DS09/85","Pollagh, Keel, Achill. Co Mayo","","2020-10-08","50000"
"DS09/86","Dooniver, Achill, Co Mayo","","2022-09-01","50000"
"DS24/01","The Old Terminal Building, Achill Sound","","1991-09-17","160000"
"DS2026/14","Bangor Erris, Ballina, Co Mayo F26 F9T3","F26 F9T3","2026-03-03",""
"DS13/40","Main Street, Belmullet, Co Mayo","","2020-01-06","90000"
"DS13/41","Tallagh, Belmullet, Co Mayo F26 CC82","F26 CC82","2020-01-15","90000"
"DS13/42","Chapel Street, Belmullet, Co Mayo F26 XK23","F26 XK23","2020-01-15","100000"
"DS2026/16","An Eachléim, An Fód Dubh, Béal an Átha, Contae Maigh Eo (Teach 1)","","2026-03-03",""
"DS2026/17","An Eachléim, An Fód Dubh, Béal an Átha, Contae Maigh Eo (Teach 2)","","2026-03-03",""
"DS2026/18","An Eachléim, An Fód Dubh, Béal an Átha, Contae Maigh Eo (Teach 3)","","2026-03-03",""
"DS2026/19","An Eachléim, An Fód Dubh, Béal an Átha, Contae Maigh Eo (Teach 4)","","2026-03-05",""
"DS2026/20","An Eachléim, An Fód Dubh, Béal an Átha, Contae Maigh Eo (Suíomh)","","2026-03-03",""
"DS13/44","Quay Street, Belmullet, Co Mayo","","2020-01-15","40000"
"DS13/50","""Tallagh House"", Tallagh, Belmullet, Co Mayo","","2021-04-15","50000"
"DS2025/70","8 Shráid na Beairice, Íochtarach, Béal an Mhuirthead, Co Mhaigh Eo F26 PQ23","F26 PQ23","2026-02-20",""
"DS2025/69","Shráid na Beairice, Íochtarach, Béal an Mhuirthead, Co Mhaigh Eo F26 P272","F26 P272","2026-02-20",""
"DS2025/68","Na Harda, Béal an Mhuirthead, Co Maigh Eo","","2026-02-20",""
"DS07/02","Tooreen, Louisburgh, Co Mayo","","2021-01-14","50000"
"DS07/03","Long Street, Louisburgh, Co Mayo F28 Y567","F28 Y567","2020-01-15","140000"
"DS07/04","Long Street, Louisburgh, Co Mayo F28 N660","F28 N660","2020-01-15","150000"
"DS08/30","Joyce's Garage, Medlicott Street, Newport, Co Mayo","","2019-12-11","100000"
"DS08/32","""Carrowbaun House"", Medlicott Street, Newport, Co Mayo F28 PD62","F28 PD62","2021-01-14","160000"
"DS08/34","Main Street, Newport, Co Mayo F28 P266","F28 P266","2019-12-11","100000"
"DS08/37","Quay Road, Newport, Co Mayo Townland of KnocknageehaF28 FX04","","2019-12-11","80000"
"DS08/43","George's Street, Newport, Co Mayo","","2019-12-11","40000"
"DS08/52","Newport Youth Café, Castlebar Street, Newport, Co Mayo F28 HF79","F28 HF79","2021-01-14","120000"
"DS08/56","Quay Road, Newport, Co Mayo","","2022-09-01","120000"
"DS10/01","Fairgreens Lower, Westport,F28 ND68","F28 ND68","2019-08-01","175000"
"DS10/04","North Mall, Westport, Co Mayo F28 A898","F28 A898","2020-03-04","250000"
"DS10/07","Quay Road Lower, Westport, Co Mayo","","2019-10-30","1400000"
"DS10/12","Quay Road Lower, Westport, F28 Y096","F28 Y096","2019-09-24","185000"
"DS10/13(a)","Quay Road Lower, Westport, Co .Mayo, F28 V963","F28 V963","2021-04-15","170000"
"DS10/20","High Street, Westport, Co Mayo F28 HW66","F28 HW66","2025-04-15",""
"DS10/21","James Street, Westport, Co Mayo F28 NV00","F28 NV00","2024-10-17","130000"
"DS10/24","Altamount Street, Westport, Co Mayo F28 H292.","F28 H292","2024-09-16","100000"
"DS10/25","5 Hillcrest, High Street, Westport, Co Mayo F28 WT25","F28 WT25","2023-05-17","1400000"
"DS10/27","Altamount Street, Westport, Co Mayo F28 RK12","F28 RK12","2024-03-13","600000"
